,WELLNAME,FILTERED_MD_LAST_VALUE,FILTERED_TVD_LAST_VALUE,Обводненность_для_расчета_PVT_параметров,Глубина_по_стволу_cs,Внутренний_диаметр_эксплуатационной_колонны_cs,Внутренняя_шероховатость_эксплуатационной_колонны_cs,Глубина_по_стволу,Внутренний_диаметр_НКТ,Внутренняя_шероховатость_НКТ,Внешний_диаметр_НКТ,Внутренний_диаметр_эксплуатационной_колонны,Газовый_фактор,Коэффициент_продуктиности,Забойное давление,Глубина_спуска_ЭЦН_по_стволу_MD,Коэффициент_износа,Содержание_растворенного_газа,Плотность_нефти,Удельный_вес_газа,Корреляция_вязкости_нефти,Пластовое_давление
37,1216_AR,3535.93,3061.21,37.150001526,3535.93,0.1596,0.0001524,2934.0,0.062,0.0001524,0.073,0.1596,1303.94004375,0.709848553,50.0272375099466,2934.0000375,0.360000014,255.13200625,858.935000863,0.661599994,2,118.687953126
38,121G_URM,3268.0,3022.12,69.449996948,3268.0,0.1596,0.0001524,3094.98,0.062,0.0001524,0.073,0.1596,4345.559354687,0.252734304,79.0095596091759,0.0,0.0,285.943002344,833.945999661,0.993130028,0,221.653321621
39,1224_AR_NFW,3924.0,3062.26,51.299999237,3738.0,0.1596,0.0001524,3305.4,0.062,0.0001524,0.073,0.1596,4349.035866406,0.417553857,82.4232551615121,0.0,0.0,255.13200625,858.935000863,0.661599994,2,206.061424551
40,1226_AR,3670.0,3064.59,37.799999237,3482.9,0.1596,0.0001524,3052.9,0.062,0.0001524,0.073,0.1596,3553.699969531,3.140810128,77.6822157033221,3052.900017187,0.0,255.13200625,858.935000863,0.661599994,2,185.370285726
41,1226_AR_NFW,3670.0,3064.59,44.599998474,3482.9,0.1596,0.0001524,3052.9,0.062,0.0001524,0.073,0.1596,4351.714632031,0.652585893,66.4334074155792,0.0,0.0,255.13200625,858.935000863,0.661599994,2,161.639225648
42,122_URM,3880.0,3075.0,95.099998474,3841.0,0.1596,0.0001524,3487.55,0.062,0.0001524,0.073,0.1596,3459.438914062,1.779061317,15.1485936940536,3487.549877344,0.0,285.943002344,833.945999661,0.993130028,0,102.311558619
43,123_URM,3579.7329775280896,3055.6238764044947,70.61693192439203,3344.863028571429,0.15573714285714282,0.00010223862857142857,2938.4441242937855,0.062795293220339,0.00011374395480225989,0.07370225988700564,0.15823502824858754,2128.045113809023,9.216998375051427,-520.309646568964,0.0,0.0,285.942331787,833.945774672,0.993130028,0,1.013253489
44,125_URM_INJ,3450.0,3056.04,100.0,1568.0,0.16,0.0001524,1408.0,0.078,0.0001524,0.089,0.16,0.0,8.738949847,-4231.08896529789,0.0,0.0,285.943002344,833.945999661,0.993130028,0,167.719084989
45,126_URM,3475.4,3084.93,95.900001526,3430.37,0.1602,0.0001524,3248.28,0.062,0.0001524,0.073,0.1602,338.597272852,0.654423304,1.11437169875902,3072.850129688,0.02,285.943002344,833.945999661,0.993130028,0,225.575808804
46,127_URM,3475.4,3084.93,96.099998474,3430.37,0.1602,0.0001524,3248.28,0.062,0.0001524,0.073,0.1602,1221.006031055,4.694264446,13.9443828498569,3248.280091406,0.02,285.943002344,833.945999661,0.993130028,0,110.842978761
47,128_URM,3652.0,3127.89,63.799999237,3651.81,0.1596,1.524e-05,3166.83,0.062,1.524e-05,0.073,0.1596,3281.909778906,0.715293232,38.8300310667205,3166.830030469,0.150000006,269.734999414,852.727991563,0.961179972,1,102.999999096
48,129_URM,3507.1,3113.35,96.800003052,3507.1,0.1596,1.524e-05,3222.65,0.062,1.524e-05,0.073,0.1596,5632.089152344,0.838420785,18.5479974712887,3222.650102344,0.119999997,269.734999414,852.727991563,0.961179972,1,175.000005613
49,1303_AR,3541.34,3078.66,81.0,3500.11,0.1596,0.0001524,3134.77,0.063,0.0001524,0.074,0.1596,613.073021191,5.555609538,35.7246658841778,3134.770071094,0.180000007,255.13200625,858.935000863,0.661599994,2,116.726709535
50,1304_AR,3890.0,3117.07,96.800003052,3724.0,0.1596,0.0001524,3153.05,0.062,0.0001524,0.073,0.1596,728.639218555,1.568091343,14.2657885147304,3153.050034375,0.119999997,185.24799917,859.030003704,0.667810023,1,132.416675098
51,1307_AR,3577.22,3094.61,97.75,3577.22,0.1596,0.0001524,3169.28,0.062,0.0001524,0.073,0.1596,6457.777817187,0.933992262,10.3625198089584,3171.480016406,0.209999993,255.13200625,858.935000863,0.661599994,2,124.571692316
52,1309_AR,4254.0,3076.93,89.099998474,3342.33,0.1596,0.0001524,3061.63,0.062,0.0001524,0.073,0.1596,1273.280809766,1.978847667,27.7593971986735,3061.629977344,0.01,185.24799917,859.030003704,0.667810023,1,116.726709535
53,130_URM,3600.0,3122.38,65.400001526,3600.0,0.1596,1.524e-05,3179.64,0.062,1.524e-05,0.073,0.1596,905.795956836,1.253946392,31.3229643684822,3179.639964844,0.0,285.943002344,833.945999661,0.993130028,0,124.999997112
54,1310_AR,3511.0,3065.59,95.050003052,3511.0,0.1596,0.0001524,3210.51,0.063,0.0001524,0.074,0.1596,777.983881055,0.735880659,19.5945719248122,3210.509894531,0.079999998,255.13200625,858.935000863,0.661599994,2,133.397292685
55,1315_AR,4116.0,3062.42,90.900001526,3498.79,0.1596,0.0001524,3171.81,0.062,0.0001524,0.073,0.1596,2574.609922266,0.877589997,33.9618512326603,3171.810117188,0.189999998,255.13200625,858.935000863,0.661599994,2,158.883679454
56,1316_AR,3320.0,3062.83,83.300003052,3320.0,0.1596,0.0001524,2911.82,0.062,0.0001524,0.073,0.1596,708.565088867,1.387582791,37.8104390596381,2911.819884375,0.01,255.13200625,858.935000863,0.661599994,2,130.45542309
57,131_URM,3448.94,3039.08,76.599998474,3448.94,0.1596,1.524e-05,3174.92,0.062,1.524e-05,0.073,0.1596,1131.911290039,3.906476262,35.6304395373193,3174.920029688,0.090000004,285.943002344,833.945999661,0.993130028,0,107.704980599
58,1323_AR,3619.08,3069.94,88.199996948,3544.75,0.1596,0.0001524,3031.77,0.062,0.0001524,0.073,0.1596,490.423712402,2.846114641,35.745075544063,3031.769995313,0.029999999,255.13200625,858.935000863,0.661599994,2,145.164762649
59,132_URM,3597.26,3065.65,91.699996948,3597.26,0.1596,1.524e-05,3210.25,0.062,1.524e-05,0.073,0.1596,1042.921675,6.367471191,22.3737191324965,3211.249867969,0.0,269.734999414,852.727991563,0.961179972,1,109.000003145
60,1331_AR,3641.0,3068.66,76.400001526,3362.24,0.1596,1.524e-05,2958.12,0.062,1.524e-05,0.073,0.1596,1076.048211328,1.920452405,35.3800240973427,2958.120016406,0.050000001,185.248431787,859.029864446,0.667810023,1,106.626302936
61,1333_AR,3600.0,3070.98,86.949996948,3598.0,0.1596,0.0001524,3197.51,0.062,0.0001524,0.073,0.1596,457.516339941,0.904325125,35.3105463980737,3197.510055469,0.165000007,255.13200625,858.935000863,0.661599994,2,136.33916228
62,1340_AR,3780.0,3073.22,52.0,3517.71,0.1596,0.0001524,3144.43,0.062,0.0001524,0.073,0.1596,337.520553564,1.887998743,51.5002487482739,3144.429909375,0.01,255.13200625,858.935000863,0.661599994,2,128.494179499
63,1341_AR,3525.21,3062.02,89.400001526,3525.21,0.1596,0.0001524,3121.53,0.062,0.0001524,0.073,0.1596,657.645440234,4.336205397,28.4674633351907,3121.530023437,0.0,255.13200625,858.935000863,0.661599994,2,121.629822721
64,1342_AR,3750.0,3080.22,93.300003052,3390.73,0.1596,0.0001524,2977.46,0.062,0.0001524,0.073,0.1596,256.000009375,1.576746698,22.5434463096652,2977.459933594,-0.300000012,255.13200625,858.935000863,0.661599994,2,125.55231832
65,1350_AR,3462.59,3085.46,78.300003052,3379.29,0.1596,0.0001524,2930.64,0.062,0.0001524,0.073,0.1596,1487.711152734,0.546140658,38.4665429358736,2930.64009375,0.239999995,255.13200625,858.935000863,0.661599994,2,119.66857913
66,1351_AR,3511.6,3080.07,52.799999237,3438.0,0.1596,0.0001524,2990.14,0.062,0.0001524,0.073,0.1596,1595.661773437,0.785924934,52.3300246326286,2990.140089844,0.0,255.13200625,858.935000863,0.661599994,2,131.043800376
67,135_URM,3435.2,3045.3,92.150001526,3435.2,0.156,1.524e-05,3093.1,0.062,1.524e-05,0.073,0.156,2541.891257422,1.585410986,23.5857552902285,3093.099982031,0.01,285.943002344,833.945999661,0.993130028,0,119.099997338
68,141_KLG,3008.0,3007.8,49.200000763,2637.0,0.122,1.524e-05,2458.16,0.062,1.524e-05,0.073,0.122,380.887419922,12.549398321,41.8744621208184,2458.160058984,0.219999999,78.79999856,839.999999094,0.803229272,1,102.99799598
69,147_KLG,3200.0,3199.0,0.0,2659.0,0.127,1.524e-05,2624.0,0.062,1.524e-05,0.073,0.1596,78.79999856,9.216998375051427,-520.309646568964,0.0,0.0,78.79999856,839.999999094,0.803229988,1,197.137764107
70,149_URM,3584.0,3079.01,97.0,3550.0,0.1596,0.0001524,3411.42,0.062,0.0001524,0.073,0.1596,2067.759605469,3.502851459,12.4770517526596,3411.420124219,0.079999998,195.277990723,1035.999999665,0.811839998,0,120.649205134
71,156_URM,3230.0,2745.76,27.0,3344.863028571429,0.15573714285714282,0.00010223862857142857,3196.79,0.076,1.524e-05,0.073,0.1596,4582.620075781,3.029202316,118.986984812438,0.0,0.0,285.942007324,833.945999661,0.993130028,0,277.548810262
72,1601_AR,4000.0,3074.17,72.800003052,3520.07,0.159,0.0001524,3313.0,0.062,0.0025,0.073,0.159,352.473642187,2.71391205,30.1366647624641,3313.9999125,0.129999995,255.13200625,858.935000863,0.661599994,2,86.32741283
73,1604_AR,4117.47,3065.67,52.200000763,3354.5,0.1596,0.0001524,3024.61,0.062,0.0001524,0.073,0.1596,815.658175781,1.481549755,48.3388326963224,3024.609874219,0.219999999,255.13200625,858.935000863,0.661599994,2,120.649205134
74,1605_AR,3328.0,3041.25,81.449996948,3328.0,0.159,0.0001524,2887.43,0.062,0.0001524,0.073,0.159,904.088070703,1.310075763,39.4586523429329,2887.42993125,0.400000006,255.13200625,858.935000863,0.661599994,2,130.45542309
75,1606_AR,3401.29,3057.36,89.25,3401.29,0.1596,1.524e-05,2881.23,0.062,1.524e-05,0.073,0.1596,4912.325594531,1.05116742,25.983709045141,2881.230049219,0.219999999,255.13200625,858.935000863,0.661599994,2,109.829722175
76,1607_AR,4215.0,3071.24,77.800003052,3432.12,0.1596,0.0001524,3216.54,0.062,0.0001524,0.073,0.1596,756.233013672,1.468756119,38.4162282367024,3216.5401125,0.0,255.13200625,858.935000863,0.661599994,2,118.491832975
77,1608_AR,4170.0,3078.87,61.099998474,3393.0,0.1596,1.524e-05,3066.9,0.062,1.524e-05,0.073,0.1596,310.706594189,1.318853992,42.4699830139469,3066.89998125,0.0,255.132568652,858.934961084,0.661599994,2,110.842978761
78,1609_AR,3386.0,3057.03,93.349998474,3386.0,0.1596,0.0001524,3063.31,0.062,0.0001524,0.073,0.1596,3420.266985156,2.971138293,21.5902011245222,3063.309949219,0.0,255.13200625,858.935000863,0.661599994,2,120.649205134
79,1610_AR,3440.62,3060.71,73.5,3440.62,0.1596,0.0001524,3147.02,0.062,0.0001524,0.073,0.1596,274.213841895,2.801351281,26.7400821364852,3147.020114062,0.140000001,255.13200625,858.935000863,0.661599994,2,77.011503668
80,1612_AR,4150.0,3076.14,59.700000763,3699.0,0.1596,0.0001524,3341.16,0.062,0.0001524,0.073,0.1596,279.531420947,2.847232605,36.4888878520686,3342.159979688,0.029999999,255.13200625,858.935000863,0.661599994,2,94.172395611
81,1615_AR,3601.0,3096.92,80.0,3442.0,0.1596,0.0001524,3070.0,0.062,0.0001524,0.073,0.1596,1126.229988086,1.549302981,134.851476727499,3070.000071094,0.0,255.13200625,858.935000863,0.661599994,2,280.490679857
82,1616_AR,3926.13,3069.95,69.400001526,3443.28,0.1596,0.0001524,3094.0,0.062,0.0001524,0.073,0.1596,322.875812842,0.618740479,39.874514103623,3094.000094531,0.079999998,255.13200625,858.935000863,0.661599994,2,110.842978761
