"","INDEX","WELLNAME","MD","TVD","ZENITH"
"COLUMN_LABELS","Индекс","Имя_скважины","Глубина_по_стволу","Глубина_по_вертикали","Зенитный_угол"
"15_1226_AR","15","1226_AR","3461.67","3036.34","72.120301894292"
"16_1226_AR","16","1226_AR","3548.72","3056.49","76.616004774388"
"17_1226_AR","17","1226_AR","3585.99","3061.26","82.646832826226"
"18_1226_AR","18","1226_AR","3654.38","3064.17","87.561323721725"
"19_1226_AR","19","1226_AR","3670","3064.59","88.45921075116"
"0_1226_AR_NFW","0","1226_AR_NFW","0","0","0.78681395884727"
"1_1226_AR_NFW","1","1226_AR_NFW","318.17","318.14","0.78681395884727"
"2_1226_AR_NFW","2","1226_AR_NFW","342.54","342.49","2.3214245308848"
"3_1226_AR_NFW","3","1226_AR_NFW","441.48","440.95","5.6460930498925"
"4_1226_AR_NFW","4","1226_AR_NFW","490.87","489.21","12.279731113846"
"5_1226_AR_NFW","5","1226_AR_NFW","564.72","559.63","17.530926064247"
"6_1226_AR_NFW","6","1226_AR_NFW","2782","2624.96","21.334853025882"
"7_1226_AR_NFW","7","1226_AR_NFW","2831.03","2668.29","27.902569276496"
"8_1226_AR_NFW","8","1226_AR_NFW","2871.25","2701.61","34.060815573261"
"9_1226_AR_NFW","9","1226_AR_NFW","2920.64","2739.59","39.737476921743"
"10_1226_AR_NFW","10","1226_AR_NFW","2970.03","2774.58","44.891625298978"
"11_1226_AR_NFW","11","1226_AR_NFW","3044.09","2822.61","49.569272308873"
"12_1226_AR_NFW","12","1226_AR_NFW","3291.04","2967.17","54.170043150748"
"13_1226_AR_NFW","13","1226_AR_NFW","3365.3","3002.58","61.520901484472"
"14_1226_AR_NFW","14","1226_AR_NFW","3414.8","3021.95","66.963769030093"
"15_1226_AR_NFW","15","1226_AR_NFW","3461.67","3036.34","72.120301894292"
"16_1226_AR_NFW","16","1226_AR_NFW","3548.72","3056.49","76.616004774388"
"17_1226_AR_NFW","17","1226_AR_NFW","3585.99","3061.26","82.646832826226"
"18_1226_AR_NFW","18","1226_AR_NFW","3654.38","3064.17","87.561323721725"
"19_1226_AR_NFW","19","1226_AR_NFW","3670","3064.59","88.45921075116"
"0_122_URM","0","122_URM","0","0","2.0258172320113"
"1_122_URM","1","122_URM","160","159.9","2.0258172320113"
"2_122_URM","2","122_URM","170","169.8","8.109614455994"
"3_122_URM","3","122_URM","210","209.1","10.734752666446"
"4_122_URM","4","122_URM","500","490.9","13.657595364579"
"5_122_URM","5","122_URM","540","527.7","23.073918065631"
"6_122_URM","6","122_URM","630","608.1","26.704852247577"
"7_122_URM","7","122_URM","690","658.7","32.506196388722"
"8_122_URM","8","122_URM","760","714","37.814488506014"
"9_122_URM","9","122_URM","860","787.8","42.438676206636"
"10_122_URM","10","122_URM","3180","2443.7","44.459149427899"
"11_122_URM","11","122_URM","3300","2538.7","37.658462006208"
"12_122_URM","12","122_URM","3340","2572.5","32.328064122162"
"13_122_URM","13","122_URM","3530","2739","28.798916581467"
"14_122_URM","14","122_URM","3580","2784.8","23.651858175449"
"15_122_URM","15","122_URM","3660","2860.1","19.737451621513"
"16_122_URM","16","122_URM","3750","2947.1","14.835111581976"
"17_122_URM","17","122_URM","3870","3065.1","10.475313843229"
"18_122_URM","18","122_URM","3880","3075","8.1096144559905"
"0_123_URM","0","123_URM","","",""
"1_123_URM","1","123_URM","","",""
"0_125_URM_INJ","0","125_URM_INJ","0","0","0.73969046967378"
"1_125_URM_INJ","1","125_URM_INJ","120","119.99","0.73969046967378"
"2_125_URM_INJ","2","125_URM_INJ","130","129.99",""
"3_125_URM_INJ","3","125_URM_INJ","410","409.46","3.5258601136797"
"4_125_URM_INJ","4","125_URM_INJ","450","448.61","11.832844965113"
"5_125_URM_INJ","5","125_URM_INJ","520","515.27","17.770677635746"
"6_125_URM_INJ","6","125_URM_INJ","1030","989.09","21.711425092909"
"7_125_URM_INJ","7","125_URM_INJ","1080","1031.73","31.482468478164"
"8_125_URM_INJ","8","125_URM_INJ","1130","1071.18","37.907842094651"
"9_125_URM_INJ","9","125_URM_INJ","1550","1396.42","39.251058751255"
"10_125_URM_INJ","10","125_URM_INJ","2240","1976.83","32.735709669324"
"11_125_URM_INJ","11","125_URM_INJ","2590","2242.18","40.699251312527"
"12_125_URM_INJ","12","125_URM_INJ","2690","2328.01","30.873760499603"
"13_125_URM_INJ","13","125_URM_INJ","2920","2534.45","26.160151119063"
"14_125_URM_INJ","14","125_URM_INJ","2990","2600.96","18.168640733285"
"15_125_URM_INJ","15","125_URM_INJ","3120","2727.75","12.758986793888"
"16_125_URM_INJ","16","125_URM_INJ","3360","2966.2","6.5152617867998"
"17_125_URM_INJ","17","125_URM_INJ","3440","3046.06","3.3901585490876"
"18_125_URM_INJ","18","125_URM_INJ","3450","3056.04","3.6243074940063"
"0_126_URM","0","126_URM","0","0","0.39537922586186"
"1_126_URM","1","126_URM","420","419.99","0.39537922586186"
"2_126_URM","2","126_URM","430","429.99","0"
"3_126_URM","3","126_URM","480","479.95","2.2919839967777"
"4_126_URM","4","126_URM","530","529.67","6.0664486091317"
"5_126_URM","5","126_URM","590","588.72","10.209359711554"
"6_126_URM","6","126_URM","650","646.95","13.951538451882"
"7_126_URM","7","126_URM","680","675.32","18.973920651537"
"8_126_URM","8","126_URM","710","702.88","23.268070446711"
"9_126_URM","9","126_URM","740","729.48","27.542675154459"
"10_126_URM","10","126_URM","830","806.15","31.582286440118"
"11_126_URM","11","126_URM","2650","2321.03","33.658927542458"
"12_126_URM","12","126_URM","2780","2427.84","34.753171597539"
"13_126_URM","13","126_URM","2880","2513.67","30.873760499604"
"14_126_URM","14","126_URM","2920","2549.74","25.610941052015"
"15_126_URM","15","126_URM","2960","2587","21.330142078552"
"16_126_URM","16","126_URM","3130","2747.84","18.894287899749"
"17_126_URM","17","126_URM","3270","2883.27","14.679803124182"
"18_126_URM","18","126_URM","3470","3079.62","10.963059602573"
"19_126_URM","19","126_URM","3475.4","3084.93","10.475313843238"
"0_127_URM","0","127_URM","0","0","0.39537922586186"
"1_127_URM","1","127_URM","420","419.99","0.39537922586186"
"2_127_URM","2","127_URM","430","429.99","0"
"3_127_URM","3","127_URM","480","479.95","2.2919839967777"
"4_127_URM","4","127_URM","530","529.67","6.0664486091317"
"5_127_URM","5","127_URM","590","588.72","10.209359711554"
"6_127_URM","6","127_URM","650","646.95","13.951538451882"
"7_127_URM","7","127_URM","680","675.32","18.973920651537"
"8_127_URM","8","127_URM","710","702.88","23.268070446711"
"9_127_URM","9","127_URM","740","729.48","27.542675154459"
"10_127_URM","10","127_URM","830","806.15","31.582286440118"
"11_127_URM","11","127_URM","2650","2321.03","33.658927542458"
"12_127_URM","12","127_URM","2780","2427.84","34.753171597539"
"13_127_URM","13","127_URM","2880","2513.67","30.873760499604"
"14_127_URM","14","127_URM","2920","2549.74","25.610941052015"
"15_127_URM","15","127_URM","2960","2587","21.330142078552"
"16_127_URM","16","127_URM","3130","2747.84","18.894287899749"
"17_127_URM","17","127_URM","3270","2883.27","14.679803124182"
"18_127_URM","18","127_URM","3470","3079.62","10.963059602573"
"19_127_URM","19","127_URM","3475.4","3084.93","10.475313843238"
"0_128_URM","0","128_URM","0","0","0.68481962502971"
"1_128_URM","1","128_URM","140","139.99","0.68481962502971"
"2_128_URM","2","128_URM","150","149.98","2.5625587331256"
"3_128_URM","3","128_URM","210","209.56","6.7832889062332"
"4_128_URM","4","128_URM","280","278.06","11.882637007926"
"5_128_URM","5","128_URM","500","486.83","18.385739415162"
"6_128_URM","6","128_URM","2840","2689.96","19.693539783467"
"7_128_URM","7","128_URM","2930","2769.63","27.721119545881"
"8_128_URM","8","128_URM","2970","2802.79","34.003849551034"
"9_128_URM","9","128_URM","3050","2864.33","39.713412800262"
"10_128_URM","10","128_URM","3120","2913.07","45.870239232531"
"11_128_URM","11","128_URM","3280","3010.62","52.433089390725"
"12_128_URM","12","128_URM","3320","3031.58","58.399051887983"
"13_128_URM","13","128_URM","3380","3058.89","62.924341632909"
"14_128_URM","14","128_URM","3450","3083.25","69.634965123369"
"15_128_URM","15","128_URM","3600","3120.37","75.672346943705"
"16_128_URM","16","128_URM","3650","3127.71","81.558472871368"
"17_128_URM","17","128_URM","3652","3127.89","84.836392909158"
"0_129_URM","0","129_URM","0","0","1.4564108923334"
"1_129_URM","1","129_URM","185.73","185.67","1.4564108923334"
"2_129_URM","2","129_URM","210.34","210.19","4.90157350722"
"3_129_URM","3","129_URM","284.17","283.1","9.0545552751675"
"4_129_URM","4","129_URM","333.22","330.65","14.20616244928"
"5_129_URM","5","129_URM","431.41","424.04","17.989118905859"
"6_129_URM","6","129_URM","2871.6","2717.01","20.004018193529"
"7_129_URM","7","129_URM","2946.1","2783.66","26.538944167322"
"8_129_URM","8","129_URM","2995.7","2824.9","33.751856227264"
"9_129_URM","9","129_URM","3045.4","2863.67","38.732055069245"
"10_129_URM","10","129_URM","3119.9","2917.1","44.177756550402"
"11_129_URM","11","129_URM","3169.5","2947.93","51.568936196006"
"12_129_URM","12","129_URM","3343.5","3051.81","53.343839809069"
"13_129_URM","13","129_URM","3380.73","3069.21","62.136609691064"
"14_129_URM","14","129_URM","3442.79","3093.93","66.526542000654"
"15_129_URM","15","129_URM","3489.5","3108.27","72.121432097925"
"16_129_URM","16","129_URM","3495.5","3110.08","72.442265480995"
"17_129_URM","17","129_URM","3507.1","3113.35","73.626570494843"
"0_1303_AR","0","1303_AR","0","0","0.98326541808542"
"1_1303_AR","1","1303_AR","407.47","407.41","0.98326541808542"
"2_1303_AR","2","1303_AR","432.04","431.91","4.3260071684709"
"3_1303_AR","3","1303_AR","505.93","505.02","8.3324915635658"
"4_1303_AR","4","1303_AR","579.94","576.87","13.876541871093"
"5_1303_AR","5","1303_AR","629.04","623.26","19.12491765877"
"6_1303_AR","6","1303_AR","2794","2631.21","21.955163020074"
"7_1303_AR","7","1303_AR","2843.34","2674.32","29.104587681788"
"8_1303_AR","8","1303_AR","2917.27","2735.64","33.959437218757"
"9_1303_AR","9","1303_AR","2966.62","2773.89","39.188077598782"
"10_1303_AR","10","1303_AR","3065.28","2846.75","42.39655827007"
"11_1303_AR","11","1303_AR","3089.96","2862.56","50.163449636253"
"12_1303_AR","12","1303_AR","3287.32","2985.59","51.436720473499"
"13_1303_AR","13","1303_AR","3336.71","3010.26","60.033482644369"
"14_1303_AR","14","1303_AR","3410.77","3042.25","64.408810306155"
"15_1303_AR","15","1303_AR","3447.65","3055.11","69.592270917228"
"16_1303_AR","16","1303_AR","3516.48","3073.49","74.512108486975"
"17_1303_AR","17","1303_AR","3534","3077.13","78.008735486818"
"18_1303_AR","18","1303_AR","3541.34","3078.66","77.968649831824"
"0_1304_AR","0","1304_AR","0","0","0.52303833093495"
"1_1304_AR","1","1304_AR","240","239.99","0.52303833093495"
"2_1304_AR","2","1304_AR","250","249.99","0"
"3_1304_AR","3","1304_AR","380","379.79","3.1786056162711"
"4_1304_AR","4","1304_AR","440","438.92","9.768948148791"
"5_1304_AR","5","1304_AR","580","573.61","15.830812304492"
"6_1304_AR","6","1304_AR","2810","2653.66","21.13112297108"
"7_1304_AR","7","1304_AR","2850","2688.75","28.687608776319"
"8_1304_AR","8","1304_AR","2900","2729.91","34.593579024835"
"9_1304_AR","9","1304_AR","2960","2775.7","40.255834815279"
"10_1304_AR","10","1304_AR","3050","2837.62","46.52800068854"
"11_1304_AR","11","1304_AR","3270","2974.97","51.367838707645"
"12_1304_AR","12","1304_AR","3320","3000.98","58.654331942452"
"13_1304_AR","13","1304_AR","3400","3033.88","65.716617935482"
"14_1304_AR","14","1304_AR","3480","3058.79","71.857886077425"
"15_1304_AR","15","1304_AR","3550","3073.6","77.785542116658"
"16_1304_AR","16","1304_AR","3710","3094.53","82.483453906371"
"17_1304_AR","17","1304_AR","3880","3115.36","82.961895295144"
"18_1304_AR","18","1304_AR","3890","3117.07","80.154033751075"
"0_1307_AR","0","1307_AR","0","0","0.54629589218931"
"1_1307_AR","1","1307_AR","220","219.99","0.54629589218931"
"2_1307_AR","2","1307_AR","230","229.99","0"
"3_1307_AR","3","1307_AR","590","589.79","1.90994774757"
"4_1307_AR","4","1307_AR","650","649.08","8.8230831917976"
"5_1307_AR","5","1307_AR","690","687.75","14.816451922125"
"6_1307_AR","6","1307_AR","790","781.56","20.265114229513"
"7_1307_AR","7","1307_AR","2760","2625.46","20.611345382808"
"8_1307_AR","8","1307_AR","2790","2651.58","29.463796886044"
"9_1307_AR","9","1307_AR","2920","2758.3","34.822695676525"
"10_1307_AR","10","1307_AR","2960","2788.9","40.09300798513"
"11_1307_AR","11","1307_AR","3000","2816.76","45.853131334713"
"12_1307_AR","12","1307_AR","3240","2968.63","50.743611723516"
"13_1307_AR","13","1307_AR","3290","2996.65","55.916535078141"
"14_1307_AR","14","1307_AR","3360","3030.92","60.687583288145"
"15_1307_AR","15","1307_AR","3400","3047.26","65.88935808008"
"16_1307_AR","16","1307_AR","3510","3084.21","70.372171230678"
"17_1307_AR","17","1307_AR","3540","3090.77","77.369268016089"
"18_1307_AR","18","1307_AR","3570","3094.21","83.41560072742"
"19_1307_AR","19","1307_AR","3577.22","3094.61","86.824092512569"
"0_1309_AR","0","1309_AR","0","0","0.67844961364791"
"1_1309_AR","1","1309_AR","1141.13","1141.05","0.67844961364791"
"2_1309_AR","2","1309_AR","1153.47","1153.36","3.9960296511718"
"3_1309_AR","3","1309_AR","1251.81","1250.92","7.221165598201"
"4_1309_AR","4","1309_AR","1313.26","1310.95","12.341295151134"
"5_1309_AR","5","1309_AR","2581.62","2524.08","16.970418105391"
"6_1309_AR","6","1309_AR","2667.83","2604.22","21.628923440646"
"7_1309_AR","7","1309_AR","2716.96","2647.25","28.855500638224"
"8_1309_AR","8","1309_AR","2798.86","2713.62","35.867070597017"
"9_1309_AR","9","1309_AR","2873.18","2769.41","41.351311357856"
"10_1309_AR","10","1309_AR","2922.36","2802.61","47.540323014928"
"11_1309_AR","11","1309_AR","3045.88","2878.18","52.2799591157"
"12_1309_AR","12","1309_AR","3218.11","2977.96","54.59575393283"
"13_1309_AR","13","1309_AR","3267.28","2999.85","63.564494429398"
"14_1309_AR","14","1309_AR","3316.7","3017.75","68.764538298891"
"15_1309_AR","15","1309_AR","3415.23","3045.97","73.356836714408"
"16_1309_AR","16","1309_AR","3510.58","3063.62","79.332600131873"
"17_1309_AR","17","1309_AR","3646.3","3070.83","86.954780983421"
"18_1309_AR","18","1309_AR","4238.78","3076.39","89.462312297467"
"19_1309_AR","19","1309_AR","4254","3076.93","87.966740092483"
"0_130_URM","0","130_URM","0","0","0.5729601824818"
"1_130_URM","1","130_URM","200","199.99","0.5729601824818"
"2_130_URM","2","130_URM","210","209.99","0"
"3_130_URM","3","130_URM","260","259.87","3.9703623896662"
"4_130_URM","4","130_URM","330","329","9.042719718572"
"5_130_URM","5","130_URM","2440","2372.71","14.400051317085"
"6_130_URM","6","130_URM","2490","2419.2","21.596339912544"
"7_130_URM","7","130_URM","2650","2561.42","27.267781433109"
"8_130_URM","8","130_URM","2800","2691.31","30.010548814633"
"9_130_URM","9","130_URM","2920","2785.6","38.209902607063"
"10_130_URM","10","130_URM","3070","2895.4","42.945675807945"
"11_130_URM","11","130_URM","3119.62","2926.75","50.816826391634"
"12_130_URM","12","130_URM","3310","3036.94","54.634532222199"
"13_130_URM","13","130_URM","3360","3058.94","63.89611886266"
"14_130_URM","14","130_URM","3420","3080.96","68.46928193972"
"15_130_URM","15","130_URM","3500","3101.79","74.907685525348"
"16_130_URM","16","130_URM","3590","3120.02","78.313559107458"
"17_130_URM","17","130_URM","3600","3122.38","76.349423326762"
"0_1310_AR","0","1310_AR","0","0","1.074150068561"
"1_1310_AR","1","1310_AR","284.53","284.48","1.074150068561"
"2_1310_AR","2","1310_AR","309.22","309.05","5.6512401644086"
"3_1310_AR","3","1310_AR","481.77","479.19","9.5872808639256"
"4_1310_AR","4","1310_AR","555.85","550.42","15.944534502787"
"5_1310_AR","5","1310_AR","654.41","641.77","22.051526867958"
"6_1310_AR","6","1310_AR","2503.23","2335.7","23.620098171216"
"7_1310_AR","7","1310_AR","2577.19","2408.32","10.923189696607"
"8_1310_AR","8","1310_AR","2799.26","2627.93","8.536148573977"
"9_1310_AR","9","1310_AR","2836.3","2662.79","19.75530757414"
"10_1310_AR","10","1310_AR","2896.95","2717.8","24.904979443212"
"11_1310_AR","11","1310_AR","2970.92","2781.06","31.216883761805"
"12_1310_AR","12","1310_AR","3020.24","2820.11","37.648953587879"
"13_1310_AR","13","1310_AR","3069.47","2855.38","44.239232179889"
"14_1310_AR","14","1310_AR","3192.86","2933.25","50.869530169116"
"15_1310_AR","15","1310_AR","3340.97","3013.34","57.265512692239"
"16_1310_AR","16","1310_AR","3402.57","3037.5","66.908055388948"
"17_1310_AR","17","1310_AR","3464.29","3055.18","73.354161946421"
"18_1310_AR","18","1310_AR","3503.13","3064.09","76.738092555466"
"19_1310_AR","19","1310_AR","3511","3065.59","79.01236158183"
"0_1315_AR","0","1315_AR","0","0","1.0714796087034"
"1_1315_AR","1","1315_AR","629.09","628.98","1.0714796087034"
"2_1315_AR","2","1315_AR","653.72","653.55","4.0000853006933"
"3_1315_AR","3","1315_AR","727.65","726.65","8.5935671516648"
"4_1315_AR","4","1315_AR","776.8","774.28","14.286416371785"
"5_1315_AR","5","1315_AR","850.53","843.72","19.641415590272"
