"","INDEX","WELLNAME","MD","TVD","ZENITH"
"COLUMN_LABELS","Индекс","Имя_скважины","Глубина_по_стволу","Глубина_по_вертикали","Зенитный_угол"
"6_1315_AR","6","1315_AR","2735","2601.43","21.134848794885"
"7_1315_AR","7","1315_AR","2784.36","2644.78","28.569042298156"
"8_1315_AR","8","1315_AR","2821.29","2675.26","34.376490224004"
"9_1315_AR","9","1315_AR","3006.22","2820.12","38.434120117422"
"10_1315_AR","10","1315_AR","3043.23","2845.52","46.661990507315"
"11_1315_AR","11","1315_AR","3215.92","2951.4","52.184428184478"
"12_1315_AR","12","1315_AR","3289.94","2991.79","56.92999476599"
"13_1315_AR","13","1315_AR","3327","3009","62.329761141374"
"14_1315_AR","14","1315_AR","3363.95","3023.19","67.416311662931"
"15_1315_AR","15","1315_AR","3413.28","3037.82","72.748049102025"
"16_1315_AR","16","1315_AR","3497.06","3052.28","80.061274071607"
"17_1315_AR","17","1315_AR","3546.38","3056.68","84.881649505735"
"18_1315_AR","18","1315_AR","4100.6","3062","89.450005001193"
"19_1315_AR","19","1315_AR","4116","3062.42","88.437194054342"
"0_1316_AR","0","1316_AR","0","0","0.4103044760116"
"1_1316_AR","1","1316_AR","390","389.99","0.4103044760116"
"2_1316_AR","2","1316_AR","400","399.99","0"
"3_1316_AR","3","1316_AR","430","429.93","3.6243074940081"
"4_1316_AR","4","1316_AR","530","529.15","7.1609003063693"
"5_1316_AR","5","1316_AR","2520","2496.62","8.6298308566402"
"6_1316_AR","6","1316_AR","2580","2554.28","16.054308074273"
"7_1316_AR","7","1316_AR","2620","2591.56","21.251243975684"
"8_1316_AR","8","1316_AR","2680","2645.44","26.103591118376"
"9_1316_AR","9","1316_AR","2720","2679.48","31.679397966794"
"10_1316_AR","10","1316_AR","2770","2719.55","36.7359987595"
"11_1316_AR","11","1316_AR","2960","2861.38","41.714166127422"
"12_1316_AR","12","1316_AR","3080","2947.04","44.452331989276"
"13_1316_AR","13","1316_AR","3150","2992.28","49.737857508417"
"14_1316_AR","14","1316_AR","3180","3009.21","55.643990414236"
"15_1316_AR","15","1316_AR","3210","3023.9","60.681325101718"
"16_1316_AR","16","1316_AR","3240","3035.76","66.713235173121"
"17_1316_AR","17","1316_AR","3320","3062.83","70.22209882054"
"0_131_URM","0","131_URM","0","0","1.1642814507322"
"1_131_URM","1","131_URM","435.93","435.84","1.1642814507322"
"2_131_URM","2","131_URM","460.75","460.55","5.3962692496073"
"3_131_URM","3","131_URM","510.49","509.69","8.9083628526448"
"4_131_URM","4","131_URM","560.2","558.07","13.283565341405"
"5_131_URM","5","131_URM","634.66","629.15","17.329704430734"
"6_131_URM","6","131_URM","2498.2","2401.89","17.959347731908"
"7_131_URM","7","131_URM","2572.6","2469.11","25.378708772038"
"8_131_URM","8","131_URM","2622.3","2511.91","30.552132602177"
"9_131_URM","9","131_URM","2771.3","2636.53","33.240627090085"
"10_131_URM","10","131_URM","2845.8","2693.44","40.191425275967"
"11_131_URM","11","131_URM","2895.4","2727.8","46.152449341176"
"12_131_URM","12","131_URM","3193.5","2921.52","49.469778598861"
"13_131_URM","13","131_URM","3267.9","2965.48","53.781924541275"
"14_131_URM","14","131_URM","3318.4","2990.96","59.698219410391"
"15_131_URM","15","131_URM","3368.2","3012.26","64.67762800468"
"16_131_URM","16","131_URM","3417.8","3029.96","69.092833941607"
"17_131_URM","17","131_URM","3448.94","3039.08","72.970088628604"
"0_1323_AR","0","1323_AR","0","0","0.4678193802446"
"1_1323_AR","1","1323_AR","300","299.99","0.4678193802446"
"2_1323_AR","2","1323_AR","310","309.99","0"
"3_1323_AR","3","1323_AR","470","469.84","2.4811738968599"
"4_1323_AR","4","1323_AR","520","519.1","9.8697369311305"
"5_1323_AR","5","1323_AR","580","577.17","14.571750843445"
"6_1323_AR","6","1323_AR","630","624.14","20.048962843764"
"7_1323_AR","7","1323_AR","1865.77","1761.03","23.076094711793"
"8_1323_AR","8","1323_AR","2831.78","2678.27","18.283843608475"
"9_1323_AR","9","1323_AR","2893.44","2733.54","26.315417342802"
"10_1323_AR","10","1323_AR","2942.79","2775.33","32.13377630449"
"11_1323_AR","11","1323_AR","2979.85","2804.68","37.631039569468"
"12_1323_AR","12","1323_AR","3115.52","2905.7","41.875171888051"
"13_1323_AR","13","1323_AR","3164.84","2936.89","50.772539029511"
"14_1323_AR","14","1323_AR","3201.88","2956.77","57.539566529964"
"15_1323_AR","15","1323_AR","3238.92","2974.33","61.700399265317"
"16_1323_AR","16","1323_AR","3288.21","2993.53","67.074658528944"
"17_1323_AR","17","1323_AR","3337.39","3007.41","73.606743441048"
"18_1323_AR","18","1323_AR","3591.98","3066.87","76.493717356834"
"19_1323_AR","19","1323_AR","3619.08","3069.94","83.495333661195"
"0_132_URM","0","132_URM","0","0","1.4899727074394"
"1_132_URM","1","132_URM","236.61","236.53","1.4899727074394"
"2_132_URM","2","132_URM","261.43","261.25","5.1449678369909"
"3_132_URM","3","132_URM","311.06","310.22","9.3544858753455"
"4_132_URM","4","132_URM","385.59","382.42","14.364416919806"
"5_132_URM","5","132_URM","509.94","499.29","19.974087618789"
"6_132_URM","6","132_URM","2524.4","2349.97","23.263552299093"
"7_132_URM","7","132_URM","2872.1","2657.67","27.753610201225"
"8_132_URM","8","132_URM","2971.4","2739.49","34.516021397047"
"9_132_URM","9","132_URM","3119.3","2854.13","39.184238606463"
"10_132_URM","10","132_URM","3172","2888.97","48.616137436778"
"11_132_URM","11","132_URM","3294.2","2960.87","53.957888704677"
"12_132_URM","12","132_URM","3368.8","2999.79","58.55258431513"
"13_132_URM","13","132_URM","3418.5","3020.03","65.968209460181"
"14_132_URM","14","132_URM","3468.2","3035.37","72.021992810636"
"15_132_URM","15","132_URM","3570","3060.68","75.603852843308"
"16_132_URM","16","132_URM","3590","3064.47","79.076393784005"
"17_132_URM","17","132_URM","3597.26","3065.65","80.645965364297"
"0_1331_AR","0","1331_AR","0","0","0.5729601824818"
"1_1331_AR","1","1331_AR","200","199.99","0.5729601824818"
"2_1331_AR","2","1331_AR","210","209.99","0"
"3_1331_AR","3","1331_AR","330","329.84","2.8650874751334"
"4_1331_AR","4","1331_AR","400","399.08","8.4506307171396"
"5_1331_AR","5","1331_AR","460","457.18","14.457445791149"
"6_1331_AR","6","1331_AR","680","662.09","21.344457310665"
"7_1331_AR","7","1331_AR","2820","2647.6","21.90427660173"
"8_1331_AR","8","1331_AR","2860","2681.9","30.962968709327"
"9_1331_AR","9","1331_AR","2940","2746.77","35.818490417238"
"10_1331_AR","10","1331_AR","3020","2806.39","41.819423470701"
"11_1331_AR","11","1331_AR","3070","2840.39","47.156356956404"
"12_1331_AR","12","1331_AR","3290","2977.06","51.594188078398"
"13_1331_AR","13","1331_AR","3330","2997.33","59.552409682706"
"14_1331_AR","14","1331_AR","3370","3014.07","65.260077613302"
"15_1331_AR","15","1331_AR","3430","3034.48","70.112971374098"
"16_1331_AR","16","1331_AR","3530","3058.85","75.894979214278"
"17_1331_AR","17","1331_AR","3580","3066.06","81.709044286871"
"18_1331_AR","18","1331_AR","3640","3068.63","87.545079715498"
"19_1331_AR","19","1331_AR","3641","3068.66","88.280868679137"
"0_1333_AR","0","1333_AR","0","0","0.51247073950539"
"1_1333_AR","1","1333_AR","250","249.99","0.51247073950539"
"2_1333_AR","2","1333_AR","260","259.99","0"
"3_1333_AR","3","1333_AR","350","349.91","2.415981165124"
"4_1333_AR","4","1333_AR","400","399.54","6.9746379595748"
"5_1333_AR","5","1333_AR","440","438.8","11.038125162401"
"6_1333_AR","6","1333_AR","470","467.71","15.492233954123"
"7_1333_AR","7","1333_AR","520","514.75","19.813657132894"
"8_1333_AR","8","1333_AR","570","560.28","24.411600799379"
"9_1333_AR","9","1333_AR","2820","2582.93","25.978882513603"
"10_1333_AR","10","1333_AR","2900","2650.17","32.807043894089"
"11_1333_AR","11","1333_AR","2950","2689.53","38.075388329724"
"12_1333_AR","12","1333_AR","3020","2741.3","42.305079351009"
"13_1333_AR","13","1333_AR","3280","2921.36","46.168612475614"
"14_1333_AR","14","1333_AR","3320","2946.4","51.24437750892"
"15_1333_AR","15","1333_AR","3380","2981.16","54.596333492005"
"16_1333_AR","16","1333_AR","3420","3000.96","60.330249662597"
"17_1333_AR","17","1333_AR","3510","3039.31","64.778986591298"
"18_1333_AR","18","1333_AR","3590","3067.64","69.260172814053"
"19_1333_AR","19","1333_AR","3600","3070.98","70.488260062358"
