"","WELLNAME","FLUID","FLUID_METHOD","SOLUTION_GOR","OIL_GRAVITY","GAS_GRAVITY","WATER_SALINITY","H2S_MOLE_PERCENT","CO2_MOLE_PERCENT","N2_MOLE_PERCENT","Pb_Rs_Bo_CORRELATION","OIL_VISCOSITY_CORRELATION","GAS_VISCOSITY_CORRELATION","SEPARATOR_PRES","SEPARATOR_TEMP","CGR_(FOR_GAS_AND_RETR_COND)","WGR_(FOR_GAS_AND_RETR_COND)","SEPARATOR_GOR","TANK_GOR","SEPARATOR_GAS_GRAV","TANK_GAS_GRAV","WATER_VISC_OPTION","WATER_VAPOUR_OPTION","RESERVOIR_TEMPERATURE","RESERVOIR_PRESSURE","DEW_POINT_AT_RES_TEMP","PVT_IS_MATCHED","NUM_OF_TABLES_FOR_PVT_MATCHING","MIN_TEMPERATURE_OF_PVT_MATCHING_TABLES","MAX_TEMPERATURE_OF_PVT_MATCHING_TABLES","MIN_PRESSURE_OF_PVT_MATCHING_TABLES","MAX_PRESSURE_OF_PVT_MATCHING_TABLES","USE_PVT_TABLES_(INSTEAD_OF_CORR)_FLAG","NUM_OF_TABLES_FOR_PVT_USED","MIN_TEMPERATURE_OF_PVT_USED_TABLES","MAX_TEMPERATURE_OF_PVT_USED_TABLES","MIN_PRESSURE_OF_PVT_USED_TABLES","MAX_PRESSURE_OF_PVT_USED_TABLES"
"COLUMN_LABELS","Имя_скважины","Флюид","Тип_флюида","Содержание_растворенного_газа","Плотность_нефти","Удельный_вес_газа","Соленость_воды","Мольная_доля_H2S","Мольная_доля_CO2","Мольная_доля_N2","Корреляция_давления_насыщения/газосодержания/объемного коэффициента","Корреляция_вязкости_нефти","Корреляция_вязкости_газа","Давление_сепаратора","Температура_сепаратора","Конденсатогазовый_фактор","Водогазовый_фактор","Газовый_фактор_на_сепараторе","Газовый_фактор_резервуара","Удельный_вес_газа_в_сепараторе","Удельный_вес_газа_в_пласте","Метод_определения_вязкости_воды","Активация_опции_учета_перехода_воды_в_газ","Пластовая_температура","Пластовое_давление","Давление_насыщения_при_T_пласта","Флаг_адаптации_PVT","Количество_таблиц_для_адаптации_PVT","Минимальная_температура_таблиц_адаптации_PVT","Максимальная_температура_таблиц_адаптации_PVT","Минимальное_давление_таблиц_адаптации_PVT","Максимальное_давление_таблиц_адаптации_PVT","Флаг_использования_интерполяции_PVT_таблиц_(вместо_адаптации)","Количество_таблиц_для_интерполяции_PVT","Минимальная_температура_таблиц_интерполяции_PVT","Максимальная_температура_таблиц_интерполяции_PVT","Минимальное_давление_таблиц_интерполяции_PVT","Максимальное_давление_таблиц_интерполяции_PVT"
"207_UTBG","207_UTBG","Oil and Water","Black Oil","130.000004761","869.000004744","0.798330009","56604.6015625","0","2.920000076","0.310000002","Standing","Beggsetal","Leeetal","","","      0.00000000e+00","0","17720","","","","Use Default Correlation","No Calculations","103.999996382","148.204700736","","Yes","1","103.000003263","103.000003263","240.013524226","240.013524226","No","0","","","",""
"208_URM","208_URM","Oil and Water","Black Oil","255.13200625","858.935000863","0.661599994","52555.23828125","0","0","0","Lasater","Petroskyetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","253.033235914","1.013253489","Yes","1","103.999996382","103.999996382","326.995007842","326.995007842","No","0","","","",""
"211_UTBG","211_UTBG","Oil and Water","Black Oil","130.000004761","869.000004744","0.798330009","56604.6015625","0","2.920000076","0.310000002","Standing","Beggsetal","Leeetal","","","      0.00000000e+00","0","17720","","","","Use Default Correlation","No Calculations","103.000003263","217.730834439","","Yes","1","103.000003263","103.000003263","240.013524226","240.013524226","No","0","","","",""
"212_URM","212_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","195.176512099","1.013253489","Yes","1","103.999987905","103.999987905","326.999418063","326.999418063","No","0","","","",""
"213_URM","213_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","156.147743593","1.013253489","Yes","1","103.999996382","103.999996382","326.999990382","326.999990382","No","0","","","",""
"214_UTBG","214_UTBG","Oil and Water","Black Oil","130.000004761","869.000004744","0.798330009","56604.6015625","0","2.920000076","0.310000002","Standing","Beggsetal","Leeetal","","","      0.00000000e+00","0","17720","","","","Use Default Correlation","No Calculations","103.999996382","119.66857913","","Yes","1","103.000003263","103.000003263","240.013524226","240.013524226","No","0","","","",""
"221_URM","221_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Beggsetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","257.936357517","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"229_URM","229_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","173.602824179","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"230_URM","230_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","280.490679857","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"231_URM","231_URM","Oil and Water","Black Oil","210.999991504","868.000002995","0.898000002","55997.6015625","0","0","0","Standing","Beggsetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","","","1.013253489","Yes","1","103.999996382","103.999996382","326.999990382","326.999990382","No","0","","","",""
"234_URM","234_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Beggsetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","257.936357517","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"235_URM","235_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","133.397292685","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"236_URM","236_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","169.288079862","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"25Р_URM","25Р_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","129.474805503","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"26P_URM","26P_URM","Oil and Water","Black Oil","130.000004761","869.000004744","0.798330009","56604.6015625","0","2.920000076","0.310000002","Standing","Beggsetal","Leeetal","","","      0.00000000e+00","0","17720","","","","Use Default Correlation","No Calculations","103.999996382","182.428416131","","Yes","1","103.000003263","103.000003263","240.013524226","240.013524226","No","0","","","",""
"26P_URM_FON","26P_URM_FON","Oil and Water","Black Oil","130.000004761","869.000004744","0.798330009","56604.6015625","0","2.920000076","0.310000002","Standing","Beggsetal","Leeetal","","","      0.00000000e+00","0","17720","","","","Use Default Correlation","No Calculations","103.999996382","171.641572171","","Yes","1","103.000003263","103.000003263","240.013524226","240.013524226","No","0","","","",""
"27ПО_URM","27ПО_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","290.296889396","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
